"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"52","서울특별시 관악구 신림동","4**","다가구","8m미만","272.01","163.00","202412","23","193,531","공공기관","개인","1993","신사로12길","-","직거래","-"
"53","서울특별시 서대문구 연희동","6*","단독","8m미만","399.30","334.20","202412","23","370,000","개인","개인","2008","연희로26다길","-","중개거래","서울 서대문구, 서울 용산구"
"54","서울특별시 중구 황학동","1***","다가구","8m미만","294.16","83.00","202412","23","110,000","개인","개인","1992","난계로21길","-","중개거래","서울 중구"
"55","서울특별시 동대문구 회기동","1**","단독","8m미만","45.72","72.00","202412","23","20,000","개인","개인","1970","회기로12가길","-","중개거래","서울 동대문구"
"56","서울특별시 영등포구 신길동","1**","단독","8m미만","138.92","116.00","202412","23","130,000","개인","개인","1974","도신로49길","-","중개거래","서울 영등포구"
"57","서울특별시 성동구 사근동","1**","단독","8m미만","92.24","96.00","202412","22","59,900","개인","개인","1971","사근동8나길","-","직거래","-"
"58","서울특별시 성북구 삼선동5가","1**","다가구","8m미만","148.95","98.50","202412","22","76,000","개인","개인","1996","보문로29길","-","중개거래","서울 성북구"
"59","서울특별시 성북구 성북동","1**","단독","8m미만","13.79","36.00","202412","22","18,000","개인","개인","1971","성북로14길","-","중개거래","서울 성북구"
"60","서울특별시 강북구 수유동","2**","다가구","12m미만","466.92","245.00","202412","22","150,000","개인","개인","2004","인수봉로72길","-","중개거래","서울 강북구"
"61","서울특별시 동작구 노량진동","2**","다가구","8m미만","282.04","169.00","202412","21","225,000","개인","개인","1990","장승배기로24가길","-","중개거래","서울 동작구, 서울 마포구"
"62","서울특별시 송파구 마천동","3**","단독","8m미만","21.28","35.70","202412","21","55,000","개인","개인","1985","성내천로43다길","-","중개거래","서울 송파구"
"63","서울특별시 성동구 성수동2가","5**","다가구","8m미만","119.73","86.00","202412","21","180,000","개인","개인","1995","둘레15가길","-","중개거래","서울 성동구"
"64","서울특별시 성동구 성수동2가","2**","단독","8m미만","144.42","102.00","202412","21","210,000","개인","개인","1990","둘레23길","-","중개거래","서울 성동구"
"65","서울특별시 동대문구 제기동","1**","단독","8m미만","260.01","116.00","202412","21","91,000","개인","개인","1995","고산자로52길","-","중개거래","서울 동대문구"
"66","서울특별시 강동구 명일동","2**","다가구","8m미만","439.00","212.50","202412","20","257,000","법인","개인","1985","상암로63길","20250206","중개거래","서울 강동구"
"67","서울특별시 은평구 신사동","3*","단독","12m미만","174.72","120.70","202412","20","93,000","법인","개인","1985","증산로19길","-","중개거래","서울 은평구"
"68","서울특별시 용산구 이태원동","2**","단독","8m미만","66.12","139.00","202412","20","90,000","개인","개인","1965","소월로","-","중개거래","서울 용산구"
"69","서울특별시 성동구 성수동2가","5**","단독","8m미만","190.32","132.00","202412","20","240,000","개인","개인","1990","성수이로5길","-","중개거래","서울 성동구, 서울 용산구"
"70","서울특별시 광진구 군자동","1**","다가구","8m미만","168.30","116.00","202412","20","92,400","개인","개인","1994","면목로5길","-","중개거래","서울 광진구"
"71","서울특별시 동대문구 이문동","8*","단독","8m미만","62.84","99.00","202412","20","106,000","개인","개인","1967","외대역동로12가길","-","중개거래","서울 동대문구"
"72","서울특별시 동대문구 장안동","1**","단독","8m미만","395.76","205.00","202412","20","230,000","법인","개인","1986","사가정로23길","-","중개거래","서울 동대문구"
"73","서울특별시 관악구 봉천동","1***","다가구","8m미만","245.54","107.90","202412","20","75,000","개인","개인","1994","인헌9길","-","직거래","-"
"74","서울특별시 강북구 미아동","7**","단독","8m미만","35.44","50.00","202412","20","12,200","개인","개인","1985","삼양로64가길","-","직거래","-"
"75","서울특별시 중랑구 면목동","1**","다가구","8m미만","200.37","123.00","202412","20","78,000","개인","개인","1996","겸재로15길","-","중개거래","서울 성북구"
"76","서울특별시 강동구 명일동","2**","다가구","8m미만","439.00","212.50","202412","20","257,000","법인","개인","1985","상암로63길","-","중개거래","서울 강동구"
"77","서울특별시 영등포구 신길동","1**","단독","8m미만","28.53","53.00","202412","20","81,500","개인","개인","1983","도신로43길","-","중개거래","서울 영등포구"
"78","서울특별시 동대문구 이문동","1**","다가구","8m미만","107.07","76.00","202412","19","95,000","개인","개인","1996","한천로55가길","-","중개거래","서울 동대문구"
"79","서울특별시 강남구 역삼동","6**","단독","8m미만","648.10","240.80","202412","19","670,000","법인","개인","1997","테헤란로39길","20250214","중개거래","서울 강남구"
"80","서울특별시 강북구 미아동","1***","단독","8m미만","39.03","103.00","202412","19","58,000","개인","개인","1985","삼양로22길","20250118","중개거래","서울 강북구"
"81","서울특별시 용산구 문배동","3*","단독","25m이상","42.97","36.40","202412","19","390,400","법인","개인","1949","백범로90길","-","직거래","-"
"82","서울특별시 마포구 염리동","*","단독","12m미만","143.53","63.80","202412","19","115,000","개인","개인","1969","숭문길","-","중개거래","서울 마포구"
"83","서울특별시 마포구 서교동","3**","다가구","8m미만","323.18","178.80","202412","19","295,000","개인","개인","1996","와우산로29가길","-","중개거래","서울 송파구"
"84","서울특별시 용산구 보광동","2**","다가구","8m미만","264.96","155.00","202412","19","370,000","개인","개인","1993","우사단로4라길","-","중개거래","서울 용산구"
"85","서울특별시 중구 신당동","3**","단독","8m미만","164.94","86.00","202412","19","82,000","개인","개인","1969","청구로16길","-","중개거래","서울 중구"
"86","서울특별시 동대문구 회기동","1*","단독","8m미만","238.74","155.00","202412","19","167,000","개인","법인","1988","회기로21가길","20250207","중개거래","서울 성동구"
"87","서울특별시 구로구 오류동","1*","단독","8m미만","87.14","93.00","202412","19","36,000","개인","개인","2006","고척로6길","-","중개거래","서울 구로구"
"88","서울특별시 영등포구 신길동","1**","다가구","8m미만","105.00","63.00","202412","18","90,000","개인","개인","1993","신길로60길","-","중개거래","서울 영등포구"
"89","서울특별시 강서구 방화동","6**","단독","8m미만","58.84","165.00","202412","18","106,500","개인","개인","1967","방화동로5길","-","중개거래","서울 강서구"
"90","서울특별시 동대문구 이문동","8*","단독","8m미만","152.53","97.00","202412","18","114,000","개인","개인","1990","휘경로17길","-","중개거래","서울 동대문구"
"91","서울특별시 광진구 자양동","6**","단독","8m미만","238.95","203.30","202412","18","571,934","기타","개인","1984","자양로2길","-","직거래","-"
"92","서울특별시 강서구 방화동","2**","단독","12m미만","131.13","106.00","202412","18","84,000","개인","개인","1989","초원로16길","-","직거래","-"
"93","서울특별시 강북구 미아동","7**","단독","12m미만","36.36","66.00","202412","18","18,000","개인","법인","1972","인수봉로6가길","-","직거래","-"
"94","서울특별시 노원구 월계동","5**","다가구","8m미만","249.60","185.00","202412","17","55,600","개인","개인","1991","월계로44가길","-","직거래","-"
"95","서울특별시 마포구 창전동","2**","다가구","8m미만","371.81","155.00","202412","17","338,000","법인","법인","2017","독막로22길","-","직거래","-"
"96","서울특별시 관악구 신림동","4**","단독","8m미만","216.00","144.50","202412","17","142,251","공공기관","개인","1991","신사로16길","-","직거래","-"
"97","서울특별시 영등포구 영등포동7가","6*","단독","8m미만","163.08","91.90","202412","17","86,000","개인","개인","1991","국회대로44길","-","중개거래","서울 영등포구"
"98","서울특별시 구로구 구로동","4**","단독","25m미만","2332.27","1458.00","202412","17","1,010,793","법인","법인","1964","구로동로","-","직거래","-"
"99","서울특별시 동대문구 이문동","1**","단독","8m미만","104.52","92.00","202412","17","107,000","개인","개인","1997","외대역동로20길","-","중개거래","서울 동대문구"
"100","서울특별시 송파구 마천동","3**","단독","8m미만","169.68","92.50","202412","16","90,000","개인","개인","1983","성내천로43라길","-","중개거래","서울 송파구"
"101","서울특별시 중랑구 상봉동","1**","다가구","8m미만","162.05","87.90","202412","16","25,023","개인","개인","2020","면목로95길","20250217","중개거래","서울 중랑구"
"102","서울특별시 도봉구 도봉동","5**","다가구","8m미만","246.01","176.90","202412","16","88,367","공공기관","개인","1990","도봉로177길","-","직거래","-"
"103","서울특별시 동대문구 이문동","8*","단독","8m미만","32.30","43.00","202412","16","69,000","개인","개인","1969","외대역동로18길","-","중개거래","서울 동대문구"
"104","서울특별시 성북구 안암동5가","1**","다가구","8m미만","176.58","118.00","202412","16","131,000","개인","개인","1997","고려대로24가길","-","중개거래","서울 성북구"
"105","서울특별시 중랑구 상봉동","1**","다가구","8m미만","162.05","87.90","202412","16","25,023","개인","개인","2020","면목로95길","20250218","직거래","-"
"106","서울특별시 성동구 금호동3가","1***","단독","8m미만","28.10","65.10","202412","16","27,000","개인","개인","1959","장터1가길","-","직거래","-"
"107","서울특별시 영등포구 신길동","1**","단독","8m미만","32.24","26.00","202412","16","75,000","개인","개인","1985","신길로56길","-","중개거래","서울 강남구, 서울 영등포구"
"108","서울특별시 성동구 성수동1가","3**","다가구","8m미만","141.68","89.00","202412","16","215,000","개인","개인","1992","둘레9길","-","중개거래","서울 성동구"
"109","서울특별시 강북구 수유동","1**","다가구","8m미만","179.37","114.40","202412","15","26,000","개인","개인","1994","한천로148길","-","직거래","-"
"110","서울특별시 성동구 성수동2가","3**","단독","25m미만","195.33","115.00","202412","14","275,000","법인","개인","1986","성덕정21길","20250225","중개거래","서울 성동구"
"111","서울특별시 동대문구 장안동","1**","다가구","8m미만","118.26","83.00","202412","14","47,000","개인","개인","1993","한천로14길","-","중개거래","서울 동대문구"
"112","서울특별시 관악구 신림동","8*","단독","8m미만","184.32","139.00","202412","14","112,000","개인","개인","1985","신림로56길","-","중개거래","경기 성남시 수정구, 서울 관악구"
"113","서울특별시 동대문구 용두동","1**","단독","8m미만","386.52","146.80","202412","14","150,000","개인","개인","1994","무학로32길","-","중개거래","서울 동대문구"
"114","서울특별시 동대문구 제기동","6*","단독","8m미만","48.46","86.00","202412","14","32,500","개인","개인","1960","약령시로7길","-","중개거래","경기 양주시"
"115","서울특별시 서대문구 북아현동","*","단독","8m미만","89.22","149.00","202412","14","119,550","개인","개인","1939","북아현로18길","-","중개거래","서울 서대문구"
"116","서울특별시 중구 장충동1가","4*","단독","8m미만","59.93","76.00","202412","14","35,000","개인","개인","1956","장충단로6가길","-","중개거래","서울 성북구"
"117","서울특별시 중랑구 면목동","3**","단독","8m미만","101.04","76.70","202412","14","39,500","개인","개인","1990","면목로30가길","-","중개거래","서울 중랑구"
"118","서울특별시 성북구 종암동","1**","단독","25m미만","71.60","78.00","202412","14","65,500","개인","개인","1966","월곡로","-","중개거래","서울 성북구"
"119","서울특별시 성동구 성수동2가","3**","단독","25m미만","195.33","115.00","202412","14","275,000","법인","개인","1986","성덕정21길","-","중개거래","서울 성동구"
"120","서울특별시 성북구 성북동","2**","단독","8m미만","19.83","46.00","202412","13","52,800","개인","개인","1980","성북로23길","-","중개거래","서울 성북구"
"121","서울특별시 동대문구 이문동","1**","단독","8m미만","59.93","82.00","202412","13","93,000","개인","개인","1970","외대역동로34가길","-","중개거래","서울 동대문구"
"122","서울특별시 도봉구 방학동","6**","단독","8m미만","119.51","126.80","202412","13","49,000","개인","개인","1997","도봉로151길","20250115","중개거래","서울 도봉구"
"123","서울특별시 중랑구 면목동","1**","다가구","8m미만","149.27","95.20","202412","13","59,000","개인","개인","1993","면목로66길","-","직거래","-"
"124","서울특별시 구로구 고척동","2**","단독","12m미만","211.12","162.00","202412","13","85,000","개인","개인","1974","경인로35다길","-","중개거래","서울 구로구"
"125","서울특별시 도봉구 방학동","6**","단독","8m미만","119.51","126.80","202412","13","49,000","개인","개인","1997","도봉로151길","-","중개거래","서울 도봉구"
"126","서울특별시 성북구 상월곡동","2*","단독","8m미만","67.27","142.00","202412","13","64,000","개인","개인","1970","화랑로18자길","20250117","중개거래","서울 성북구"
"127","서울특별시 성북구 상월곡동","2*","단독","8m미만","67.27","142.00","202412","13","64,000","개인","개인","1970","화랑로18자길","-","중개거래","서울 성북구"
"128","서울특별시 서초구 방배동","8**","단독","8m미만","147.77","161.10","202412","13","230,000","개인","개인","1977","방배로25길","20250412","중개거래","서울 강남구"
"129","서울특별시 강북구 미아동","3**","단독","8m미만","74.31","100.50","202412","12","48,500","개인","개인","1971","도봉로21길","-","중개거래","서울 강북구"
"130","서울특별시 동대문구 이문동","1**","단독","8m미만","49.59","76.00","202412","12","90,000","개인","개인","1968","한천로55가길","-","중개거래","서울 동대문구"
"131","서울특별시 영등포구 신길동","8*","다가구","8m미만","225.17","160.00","202412","12","130,000","개인","개인","1994","여의대방로53나길","-","중개거래","서울 영등포구"
"132","서울특별시 용산구 주성동","4*","단독","8m미만","47.27","109.00","202412","12","320,000","개인","개인","1967","서빙고로79가길","-","중개거래","서울 용산구"
"133","서울특별시 종로구 명륜1가","3*","다가구","8m미만","242.54","178.50","202412","12","140,000","개인","개인","1992","혜화로5길","-","직거래","-"
"134","서울특별시 광진구 중곡동","1**","단독","8m미만","186.53","308.10","202412","12","250,000","법인","법인","1974","용마산로3길","-","중개거래","서울 광진구"
"135","서울특별시 종로구 명륜3가","7*","다가구","12m미만","408.18","197.60","202412","11","225,000","개인","개인","1994","성균관로5길","20250211","중개거래","서울 종로구"
"136","서울특별시 종로구 체부동","*","단독","8m미만","143.37","104.20","202412","11","100,000","개인","개인","1989","자하문로5가길","-","중개거래","서울 종로구"
"137","서울특별시 서대문구 충정로3가","*","단독","8m미만","68.83","48.60","202412","11","82,605","개인","개인","1983","독립문로8길","-","중개거래","서울 서대문구"
"138","서울특별시 송파구 삼전동","2*","다가구","8m미만","330.14","183.90","202412","11","239,000","개인","개인","2002","삼학사로19길","-","중개거래","서울 송파구"
"139","서울특별시 광진구 중곡동","1**","다가구","8m미만","324.00","137.90","202412","11","136,700","개인","개인","1997","천호대로129길","-","중개거래","서울 광진구"
"140","서울특별시 용산구 갈월동","1*","단독","8m미만","56.20","106.40","202412","11","75,000","개인","개인","1956","한강대로94길","-","직거래","-"
"141","서울특별시 성북구 정릉동","7**","단독","8m미만","67.27","116.00","202412","10","34,500","개인","개인","1972","솔샘로5길","-","중개거래","서울 성북구"
"142","서울특별시 광진구 중곡동","2**","다가구","8m미만","131.04","91.90","202412","10","50,000","개인","개인","1991","긴고랑로8길","-","중개거래","서울 광진구"
"143","서울특별시 은평구 신사동","3**","단독","8m미만","85.29","155.00","202412","10","69,000","개인","개인","1974","은평터널로5길","-","중개거래","서울 은평구"
"144","서울특별시 은평구 응암동","5**","단독","8m미만","130.31","123.60","202412","09","70,500","개인","개인","1973","가좌로10길","-","중개거래","서울 은평구"
"145","서울특별시 강남구 삼성동","6*","단독","8m미만","311.02","581.40","202412","09","1,830,000","개인","개인","1985","삼성로112길","-","중개거래","서울 강남구"
"146","서울특별시 구로구 구로동","7**","다가구","8m미만","247.77","185.00","202412","09","84,000","개인","개인","1986","구로동로26길","-","중개거래","서울 구로구"
"147","서울특별시 중구 산림동","1**","단독","8m미만","69.42","76.00","202412","09","202,700","법인","개인","1900","창경궁로5길","-","직거래","-"
"148","서울특별시 도봉구 쌍문동","1**","단독","8m미만","65.72","89.90","202412","09","37,800","개인","개인","1970","우이천로","-","중개거래","서울 도봉구"
"149","서울특별시 중랑구 면목동","5**","단독","8m미만","82.85","92.00","202412","09","65,000","개인","개인","1978","용마산로45길","20241224","중개거래","서울 중랑구"
"150","서울특별시 종로구 이화동","*","단독","8m미만","131.61","207.90","202412","09","55,898","개인","개인","1967","율곡로19길","-","직거래","-"
"151","서울특별시 종로구 평창동","5**","단독","8m미만","125.00","161.00","202412","09","148,500","개인","개인","2022","평창21길","-","직거래","-"
"152","서울특별시 용산구 동빙고동","7*","다가구","8m미만","267.02","175.00","202412","09","420,000","개인","개인","1994","서빙고로75길","-","중개거래","서울 용산구"
"153","서울특별시 관악구 신림동","1***","단독","8m미만","318.09","113.70","202412","08","143,000","개인","개인","2010","신림동길","-","중개거래","서울 관악구"
"154","서울특별시 성동구 용답동","5*","다가구","12m미만","400.14","202.00","202412","07","280,000","법인","개인","1989","용답15길","20250104","중개거래","서울 성동구"
"155","서울특별시 성동구 용답동","5*","다가구","12m미만","400.14","202.00","202412","07","280,000","법인","개인","1989","용답15길","-","중개거래","서울 성동구"
"156","서울특별시 동대문구 휘경동","1**","다가구","8m미만","162.18","110.00","202412","07","139,448","개인","개인","1992","외대역동로12길","-","중개거래","서울 동대문구"
"157","서울특별시 은평구 불광동","1**","단독","8m미만","195.66","244.00","202412","07","90,000","개인","개인","1985","불광로22길","-","직거래","-"
"158","서울특별시 마포구 상수동","3**","단독","8m미만","25.83","53.00","202412","07","51,000","개인","개인","1985","토정로9길","-","중개거래","서울 마포구"
"159","서울특별시 용산구 보광동","2**","단독","8m미만","74.54","119.00","202412","07","305,000","개인","개인","1985","우사단로4라길","-","중개거래","서울 용산구"
"160","서울특별시 마포구 도화동","2**","단독","8m미만","59.50","110.10","202412","07","181,000","법인","개인","1900","삼개로5안길","-","중개거래","서울 마포구"
"161","서울특별시 성북구 정릉동","2**","다가구","8m미만","293.08","133.00","202412","07","71,000","개인","개인","1994","보국문로18가길","-","중개거래","서울 성북구"
"162","서울특별시 광진구 능동","2**","다가구","8m미만","245.15","163.60","202412","06","196,000","개인","개인","2012","능동로34길","-","중개거래","서울 광진구"
"163","서울특별시 성동구 금호동3가","2*","단독","8m미만","33.20","52.20","202412","06","65,300","개인","개인","1984","무수막5가길","-","중개거래","서울 성동구"
"164","서울특별시 성북구 종암동","8*","단독","25m미만","809.18","239.00","202412","06","229,000","개인","개인","2010","종암로23길","-","중개거래","서울 강남구, 서울 서초구"
"165","서울특별시 중구 황학동","8**","다가구","8m미만","333.84","148.00","202412","06","156,500","개인","개인","2001","마장로18길","20250116","중개거래","서울 중구"
"166","서울특별시 관악구 신림동","1***","다가구","8m미만","224.14","143.20","202412","06","110,841","공공기관","개인","1991","문성로","-","직거래","-"
"167","서울특별시 강남구 율현동","3**","단독","8m미만","199.70","287.00","202412","06","680,000","개인","개인","1988","밤고개로24길","-","중개거래","경기 용인시 수지구"
"168","서울특별시 은평구 응암동","5**","다가구","8m미만","611.61","226.40","202412","06","100,000","개인","개인","1991","응암로9길","-","중개거래","서울 은평구"
