"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"124","서울특별시 강서구 화곡동","46-221","0046","0221","아인스빌(46-221)","34.3100","13.2200","202312","28","20,000","6","-","-","2013","까치산로12길 9","-","중개거래","서울 강서구","-"
"125","서울특별시 금천구 시흥동","846-5","0846","0005","금강누리빌(846-5)","29.8500","20.3900","202312","28","16,000","2","-","-","2012","독산로33길 31","-","직거래","-","-"
"126","서울특별시 강동구 천호동","191-24","0191","0024","美笑家","22.5000","7.3446","202312","28","34,000","10","-","-","2023","진황도로27다길 49","-","직거래","-","-"
"127","서울특별시 관악구 신림동","685-9","0685","0009","전원빌라","47.3400","28.1700","202312","28","18,500","1","-","-","1991","난곡로11길 20-6","-","중개거래","서울 관악구","-"
"128","서울특별시 관악구 신림동","253-14","0253","0014","(253-14)","31.9500","23.9200","202312","28","6,500","-1","-","-","1987","대학12길 14","-","직거래","-","-"
"129","서울특별시 관악구 신림동","95-91","0095","0091","뷰테라스","29.8700","20.9900","202312","28","27,500","2","-","-","2020","쑥고개로2가길 15","-","직거래","-","-"
"130","서울특별시 송파구 마천동","323-14","0323","0014","여명아트빌101동","79.5900","41.0400","202312","28","87,500","3","-","-","2003","성내천로 328-4","-","중개거래","서울 송파구","-"
"131","서울특별시 강동구 성내동","293-5","0293","0005","(293-5)","38.8700","31.0000","202312","28","23,800","3","-","-","2008","풍성로 109-6","-","중개거래","서울 동대문구","-"
"132","서울특별시 강동구 둔촌동","622-9","0622","0009","주풍빌리지","72.7900","50.6100","202312","28","52,000","4","-","-","1996","명일로10가길 33","-","중개거래","경기 하남시","-"
"133","서울특별시 관악구 봉천동","196-211","0196","0211","예송빌","53.9000","29.0900","202312","28","32,500","3","-","-","2004","낙성대역16길 38","-","중개거래","서울 관악구","-"
"134","서울특별시 관악구 신림동","610-165","0610","0165","2차한마음빌라","38.3500","20.6250","202312","28","18,000","1","-","-","1993","법원단지26길 6","-","직거래","-","-"
"135","서울특별시 송파구 석촌동","234-15","0234","0015","복돌빌라","23.9700","11.8400","202312","28","18,000","4","-","-","2003","백제고분로34길 3-20","-","중개거래","서울 송파구","-"
"136","서울특별시 송파구 송파동","182-2","0182","0002","가락빌리지","63.3900","27.7500","202312","28","39,000","2","-","-","1994","송파대로34가길 30","-","중개거래","서울 송파구","-"
"137","서울특별시 강서구 화곡동","346-62","0346","0062","삼성쉐르빌(346-62)","41.1300","25.3751","202312","28","26,700","6","-","-","2017","곰달래로21길 25","-","직거래","-","-"
"138","서울특별시 송파구 송파동","91-3","0091","0003","정원","25.7100","17.2000","202312","28","31,000","2","-","-","2015","백제고분로42길 18-13","-","중개거래","서울 송파구","-"
"139","서울특별시 성북구 석관동","120-17","0120","0017","루체빌","29.9700","20.5800","202312","28","25,500","3","-","-","2019","한천로72길 9-9","-","중개거래","서울 성북구","-"
"140","서울특별시 중랑구 묵동","244-70","0244","0070","성원캐슬","27.0600","20.1550","202312","28","24,000","4","-","-","2018","동일로157나길 8-14","-","중개거래","서울 중랑구","-"
"141","서울특별시 은평구 신사동","13-1","0013","0001","카리스타운(13-1)","45.9000","27.7402","202312","28","30,500","4","-","-","2016","갈현로5길 29-24","-","중개거래","서울 은평구","-"
"142","서울특별시 광진구 자양동","48-6","0048","0006","(48-6)","14.2700","10.3500","202312","28","45,000","2","-","-","2018","뚝섬로32길 28-9","-","중개거래","서울 광진구","-"
"143","서울특별시 은평구 역촌동","26-17","0026","0017","우성하이츠빌라","42.7200","17.7000","202312","28","20,800","1","-","-","1993","진흥로7가길 12","-","직거래","-","-"
